,ticker,setor,ano_tri,data_base,preco,upside,upside_tri,roc,roc_tri,roe,roe_tri,roic,p_vp,p_l,p_ebit,ev_ebitda,enterprise_value,earning_yield,margem_bruta,margem_ebit,margem_liquida,endividamento,dividend_yield,volume
160,EQTL3,energia,20224T,2023-04-03,26.88,-0.38497589,-0.45758446,0.07386312,0.08966182,0.10351727,0.16617759,0.08832081,1.5931,15.3896,5.605,11.9157,62881615.0,0.08392299,0.31573828,0.1944978,0.07083765,1.79365352,0.03690352,137656.832
161,ENBR3,energia,20224T,2023-04-03,22.35,0.55082863,0.63239162,0.12779579,0.01829682,0.10194616,-0.11308602,0.13176046,1.0743,10.5382,3.7397,5.3828,22621208.0,0.15106908,0.30274332,0.19767661,0.07014988,0.82729383,0.10946328,87715.435
162,CSNA3,siderurgico,20224T,2023-04-03,15.1,0.28242379,-0.17925112,0.13988937,0.08698795,0.09936256,0.03608207,0.12180582,0.9179,9.2375,2.6204,4.5151,47494920.0,0.16089009,0.29998801,0.17225196,0.04886372,1.25920634,0.18761159,110229.315
163,MELK3,construção,20224T,2023-04-03,2.89,1.27584078,0.11779177,0.05221547,0.01257225,0.09696706,0.04700694,0.04982016,0.4511,4.6525,8.0321,5.176,396898.0,0.18329155,0.22818794,0.07065876,0.12198611,-0.14470593,0.05367582,753.348
164,MYPK3,indústria,20224T,2023-04-03,11.89,2.70648025,-0.38051226,0.13564299,0.07247351,0.09415098,-0.08695476,0.1156646,0.4195,4.4561,1.4458,3.4492,5990975.0,0.20792675,0.10671796,0.07350092,0.02384795,0.97603596,0.13077602,45060.628
165,BPAN4,banco,20224T,2023-04-03,4.89,-0.22178688,-0.16888585,0.0,0.0,0.09380605,0.10039117,0.0,0.8711,9.2865,7.7148,0.0,0.0,0.0,0.52597153,0.06808655,0.0565632,0.0,0.0478097,24070.04
166,ENAT3,petróleo,20224T,2023-04-03,11.49,2.22240563,3.5464611,0.15397401,0.24840299,0.09328265,0.17722134,0.11476037,0.7365,7.8955,4.1778,3.8628,2798715.0,0.25887848,0.49324641,0.33306028,0.17623495,-0.05553162,0.148665,23252.426
167,ECOR3,transporte,20224T,2023-04-03,5.04,1.42397474,2.43827236,0.09912618,0.14266538,0.09292923,0.18126955,0.10889442,1.392,14.9792,2.2731,6.429,13652607.0,0.11297352,0.3178628,0.25446284,0.03861513,4.02853558,0.00150513,20468.141
168,CRFB3,supermercado,20224T,2023-04-03,12.23,0.07158308,0.21467945,0.10787465,0.13007063,0.09176924,0.09939372,0.12077957,1.1819,12.8789,5.2163,5.0641,33711984.0,0.14632778,0.19097094,0.04794441,0.0194188,0.36652581,0.03073995,55212.49
169,RENT3,transporte,20224T,2023-04-03,52.1,-1.70439539,-2.73860778,0.08674744,0.09390857,0.0895067,0.08622984,0.08412482,2.4892,27.81,11.3047,11.9697,78915689.0,0.05739575,0.37383437,0.2546972,0.10353417,1.34715109,0.01232717,497789.086
